№,Товарная группа,Бренд,Товар,Рынок/витрина,Страна,Валюта,Обычная цена,Цена со скидкой,Состав,Ценовой уровень,Статус товара,Почему важен,Источник,Дата среза,Ограничения
71,Кашемировый шарф,Joe Merino,Blue Label Merino Cashmere Scarf Navy Blue,NL,Нидерланды,Евро,130,,70% merino wool; 30% cashmere,,Уточнить,"Официальная NL карточка товара; отдельная модель Blue Label; цена, состав и размер раскрыты; вариантное состояние запаса зафиксировано дословно.","=HYPERLINK(""https://www.joemerino.com/nl_nl/blue-label-merino-cashmere-scarf-navy-blue/"";""Открыть ↗"")",16.09.2026,"Размер: 180 × 29 cm. НДС на странице: Incl.btw. Наличие на странице: One Size; PDP одновременно показывает In stock, Not in stock и Add to cart. Доставка: Бесплатная доставка; заказ до 23:00 отправляется в тот же день PostNL. Возврат: Бесплатный возврат; 100 дней."
72,Кашемировый шарф,REPEAT cashmere,Fine-Knit Cashmere Scarf with Ribbed Edges,NL,Нидерланды,Евро,149.95,,100% GOTS organic cashmere,,Нет в наличии,"Официальная карточка товара; article 700502-1025-0; цена, состав, размер и сервисные условия видны.","=HYPERLINK(""https://www.repeatcashmere.com/en/fine-knit-cashmere-scarf-with-ribbed-edges/700502-1025-0.html"";""Открыть ↗"")",16.09.2026,Размер: 40 × 175 cm. НДС на странице: (incl VAT). Наличие на странице: Unavailable / notify me; PDP также указывает изготовление под заказ. Доставка: Бесплатная доставка; 3–6 рабочих дней; изготовление под заказ — до 15 рабочих дней. Возврат: Возврат с небольшой комиссией; сумма не указана.
73,Кашемировый шарф,ARKET,Cashmere Scarf — Dark Blue,NL,Нидерланды,Евро,89,,100% cashmere,,В наличии,"Официальная NL карточка товара; style 1243055002; отдельная модель, отличная от ранее собранного style 1297089007.","=HYPERLINK(""https://www.arket.com/en-nl/product/cashmere-scarf-dark-blue-1243055002/"";""Открыть ↗"")",16.09.2026,Размер: 160 × 30 cm. НДС на странице: не указано. Наличие на странице: Add to bag. Доставка: не указано. Возврат: не указано.
74,Кашемировый шарф,Wólczanka,Szal z kaszmiru — kremowy,PL,Польша,Польский злотый,349.99,249.99,100% cashmere,,Уточнить,"Официальная PL карточка товара; код 0000JX4147; текущая и зачёркнутая цена, состав, размер и тарифы доставки раскрыты.","=HYPERLINK(""https://wolczanka.pl/kremowy-szal-w%C3%B3lczanka-57540-1"";""Открыть ↗"")",16.09.2026,Размер: 170 × 25 cm. НДС на странице: не указано. Наличие на странице: Tylko online. Доставка: Самовывоз в бутик 0 PLN; DPD Pickup 8.79 PLN; Orlen Paczka 8.99 PLN; DPD courier 12 PLN; InPost locker 13.99 PLN; InPost courier 14.99 PLN. Возврат: 30 дней.
75,Кашемировый шарф,Vistula,Kaszmirowy szal Eric — szary melanż,PL,Польша,Польский злотый,399.9,49.99,100% cashmere,,Нет в наличии,Официальная PL карточка товара; код 0000XZ9554; отдельная модель Eric; карточка товара явно помечена как недоступная.,"=HYPERLINK(""https://vistula.pl/kaszmirowy-szal-1"";""Открыть ↗"")",16.09.2026,Размер: 180 × 60 cm. НДС на странице: не указано. Наличие на странице: Produkt niedostępny. Доставка: Wysyłka w 48H; бутик 0 PLN; DPD Pickup 8.49 PLN; InPost locker 12.99 PLN; DPD courier 12 PLN; бесплатно в салон или от 499 PLN. Возврат: Бесплатный возврат; 30 дней.
76,Кашемировый шарф,Acne Studios,Cashmere Scarf — Black/White,SE,Швеция,Шведская крона,4600,,97% cashmere; 3% wool,,В наличии,"Официальная SE карточка товара; style CA0438-J83 / AC-UX-SCAR000013; североевропейского премиум-сегмента замена кандидата Soft Goat, чтобы не дублировать бренд в EXP-063.","=HYPERLINK(""https://www.acnestudios.com/se/en/ac-ux-scar000013/CA0438-J83.html"";""Открыть ↗"")",16.09.2026,Размер: 195 × 30 cm. НДС на странице: не указано. Наличие на странице: One size; Add to bag. Доставка: Бесплатная доставка; срок рассчитывается после ввода почтового индекса. Возврат: Бесплатный возврат с prepaid PostNord; возможен возврат в выбранные магазины.
77,Кашемировый шарф,Davida Cashmere,Scarf Fringes — Black,SE,Швеция,Шведская крона,2499,1250,100% cashmere,,В наличии,Официальная карточка товара; отдельная модель Scarf Fringes; цена со скидкой и обычная цена видны на карточка товара.,"=HYPERLINK(""https://davidacashmere.com/products/scarf-fringes-scarf-black"";""Открыть ↗"")",16.09.2026,Размер: 200 × 70 cm. НДС на странице: не указано. Наличие на странице: One Size; Add to cart. Доставка: Швеция 1–2 дня; EU 2–5 дней; бесплатная EU-доставка от €200. Возврат: не указано.
78,Кашемировый шарф,PURSCHOEN,Kaschmirschal Slim Galactic Bordo,DE,Германия,Евро,119,,85% cashmere; 13% lurex; 2% sequins,,Уточнить,"Официальная DE карточка товара; артикул 247021/4013/OS; цена, раскрытый blend и размер подтверждены; конфликтующие stock-сигналы сохранены в availability.","=HYPERLINK(""https://purschoen.de/products/kaschmirschal-slim-galactic-bordo-lurex-100-cashmere-purschoen"";""Открыть ↗"")",16.09.2026,Размер: 180 × 30 cm. НДС на странице: inkl. MwSt. zzgl. Versand. Наличие на странице: Add to cart; одновременно сообщение Selected quantity exceeds current stock. Доставка: не указано. Возврат: не указано.
79,Кашемировый шарф,Falconeri,Cashmere Scarf,BE,Бельгия,Евро,118,,100% cashmere,,В наличии,"Официальная BE карточка товара; код UZ00056. Индексированная карточка товара показывала €118, но повторное live-извлечение вернуло технический placeholder €0.00; цена требует ручной перепроверки.","=HYPERLINK(""https://www.falconeri.com/be/product/cashmere_scarf-UZ00056.html"";""Открыть ↗"")",16.09.2026,Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: 180 × 30 cm. НДС на странице: не указано. Наличие на странице: Select size / Add to cart. Доставка: не указано. Возврат: Бесплатный возврат; 14 дней.
80,Кашемировый шарф,Johnstons of Elgin,Light Grey Cashmere Scarf,EU,ЕС,Евро,240,,100% cashmere,,Нет в наличии,"Официальная DE/EU карточка товара; артикул WA000016; цена, состав, размер и sold-out state подтверждены.","=HYPERLINK(""https://johnstonsofelgin.com/de-de/products/light-grey-cashmere-scarf"";""Открыть ↗"")",16.09.2026,Размер: 180 × 25 cm. НДС на странице: не указано. Наличие на странице: Sold out. Доставка: Бесплатная доставка всех онлайн-заказов. Возврат: 14 дней; персонализация/вышивка исключает возврат.
