"slot_id","category","market","brand","product","composition","size","current_price","regular_price","currency","price_eur","vat_wording","availability","delivery_threshold","returns","pdp_url","evidence_note","status"
"EXP-001","Кашемировые шарфы","NL","Joe Merino","Blue Label Merino Cashmere Scarf Navy Blue","70% merino wool; 30% cashmere","180 × 29 cm","130","","EUR","130","Incl.btw","One Size; PDP одновременно показывает In stock, Not in stock и Add to cart","Бесплатная доставка; заказ до 23:00 отправляется в тот же день PostNL","Бесплатный возврат; 100 дней","https://www.joemerino.com/nl_nl/blue-label-merino-cashmere-scarf-navy-blue/","Официальная NL PDP; отдельная модель Blue Label; цена, состав и размер раскрыты; вариантное состояние запаса зафиксировано дословно.","VERIFIED"
"EXP-002","Кашемировые шарфы","NL","REPEAT cashmere","Fine-Knit Cashmere Scarf with Ribbed Edges","100% GOTS organic cashmere","40 × 175 cm","149.95","","EUR","149.95","(incl VAT)","Unavailable / notify me; PDP также указывает изготовление под заказ","Бесплатная доставка; 3–6 рабочих дней; изготовление под заказ — до 15 рабочих дней","Возврат с небольшой комиссией; сумма не указана","https://www.repeatcashmere.com/en/fine-knit-cashmere-scarf-with-ribbed-edges/700502-1025-0.html","Официальная PDP; article 700502-1025-0; цена, состав, размер и сервисные условия видны.","VERIFIED"
"EXP-003","Кашемировые шарфы","NL","ARKET","Cashmere Scarf — Dark Blue","100% cashmere","160 × 30 cm","89","","EUR","89","не указано","Add to bag","не указано","не указано","https://www.arket.com/en-nl/product/cashmere-scarf-dark-blue-1243055002/","Официальная NL PDP; style 1243055002; отдельная модель, отличная от ранее собранного style 1297089007.","VERIFIED"
"EXP-004","Кашемировые шарфы","PL","Wólczanka","Szal z kaszmiru — kremowy","100% cashmere","170 × 25 cm","249.99","349.99","PLN","","не указано","Tylko online","Самовывоз в бутик 0 PLN; DPD Pickup 8.79 PLN; Orlen Paczka 8.99 PLN; DPD courier 12 PLN; InPost locker 13.99 PLN; InPost courier 14.99 PLN","30 дней","https://wolczanka.pl/kremowy-szal-w%C3%B3lczanka-57540-1","Официальная PL PDP; код 0000JX4147; текущая и зачёркнутая цена, состав, размер и тарифы доставки раскрыты.","VERIFIED"
"EXP-005","Кашемировые шарфы","PL","Vistula","Kaszmirowy szal Eric — szary melanż","100% cashmere","180 × 60 cm","49.99","399.90","PLN","","не указано","Produkt niedostępny","Wysyłka w 48H; бутик 0 PLN; DPD Pickup 8.49 PLN; InPost locker 12.99 PLN; DPD courier 12 PLN; бесплатно в салон или от 499 PLN","Бесплатный возврат; 30 дней","https://vistula.pl/kaszmirowy-szal-1","Официальная PL PDP; код 0000XZ9554; отдельная модель Eric; PDP явно помечена как недоступная.","VERIFIED"
"EXP-006","Кашемировые шарфы","SE","Acne Studios","Cashmere Scarf — Black/White","97% cashmere; 3% wool","195 × 30 cm","4600","","SEK","","не указано","One size; Add to bag","Бесплатная доставка; срок рассчитывается после ввода почтового индекса","Бесплатный возврат с prepaid PostNord; возможен возврат в выбранные магазины","https://www.acnestudios.com/se/en/ac-ux-scar000013/CA0438-J83.html","Официальная SE PDP; style CA0438-J83 / AC-UX-SCAR000013; Nordic premium замена кандидата Soft Goat, чтобы не дублировать бренд в EXP-063.","VERIFIED"
"EXP-007","Кашемировые шарфы","SE","Davida Cashmere","Scarf Fringes — Black","100% cashmere","200 × 70 cm","1250","2499","SEK","","не указано","One Size; Add to cart","Швеция 1–2 дня; EU 2–5 дней; бесплатная EU-доставка от €200","не указано","https://davidacashmere.com/products/scarf-fringes-scarf-black","Официальная PDP; отдельная модель Scarf Fringes; sale price и regular price видны на PDP.","VERIFIED"
"EXP-008","Кашемировые шарфы","DE","PURSCHOEN","Kaschmirschal Slim Galactic Bordo","85% cashmere; 13% lurex; 2% sequins","180 × 30 cm","119","","EUR","119","inkl. MwSt. zzgl. Versand","Add to cart; одновременно сообщение Selected quantity exceeds current stock","не указано","не указано","https://purschoen.de/products/kaschmirschal-slim-galactic-bordo-lurex-100-cashmere-purschoen","Официальная DE PDP; SKU 247021/4013/OS; цена, раскрытый blend и размер подтверждены; конфликтующие stock-сигналы сохранены в availability.","VERIFIED"
"EXP-009","Кашемировые шарфы","BE","Falconeri","Cashmere Scarf","100% cashmere","180 × 30 cm","118","","EUR","118","не указано","Select size / Add to cart","не указано","Бесплатный возврат; 14 дней","https://www.falconeri.com/be/product/cashmere_scarf-UZ00056.html","Официальная BE PDP; код UZ00056. Индексированная PDP показывала €118, но повторное live-извлечение вернуло технический placeholder €0.00; цена требует ручной перепроверки.","PARTIAL"
"EXP-010","Кашемировые шарфы","EU","Johnstons of Elgin","Light Grey Cashmere Scarf","100% cashmere","180 × 25 cm","240","","EUR","240","не указано","Sold out","Бесплатная доставка всех онлайн-заказов","14 дней; персонализация/вышивка исключает возврат","https://johnstonsofelgin.com/de-de/products/light-grey-cashmere-scarf","Официальная DE/EU PDP; SKU WA000016; цена, состав, размер и sold-out state подтверждены.","VERIFIED"
