slot_id,category,market,brand,product,composition,size,current_price,regular_price,currency,price_eur,vat_wording,availability,delivery_threshold,returns,pdp_url,evidence_note,status
"EXP-023","Шерстяные/мериносовые носки","NL","DILLING","Heren Wandelsokken Merinowol – wollen terry (PG-1760-0100-120)","68% органическая мериносовая шерсть; 12% полиэстер; 14% полиамид; 6% эластан","39/42; 43/46; 47/50; единица продажи 1 stk","26.99","","EUR","26.99","Incl. BTW","Доступно к добавлению в корзину","2–4 рабочих дня из Дании; доставка от €4; бесплатно от €79","100 дней","https://www.dilling.nl/product/heren-wandelsokken-merinowol-wollen-terry-pg-1760-0100-120","[2026-09-16] Официальная PDP: отдельный SKU PG-1760-0100-120, цена, состав, размерный ряд и 1 stk; не является ранее зафиксированным PG-1700-0300-999.","VERIFIED"
"EXP-024","Шерстяные/мериносовые носки","NL","FALKE","Airport Plus Heren Sokken (14403_3080)","53% scheerwol; 27% katoen; 20% polyamide; снаружи мериносовая шерсть","39–40; 41–42; количество 1","21.00","","EUR","21.00","Incl. btw, excl. verzendkosten","Доступно к добавлению в корзину; для персонализированной версии покупка после выбора опций","2–4 рабочих дня; €5.90; бесплатно от €49; персонализация добавляет 2–3 рабочих дня","Бесплатный возврат в течение 14 дней","https://www.falke.com/nl_nl/p/airport-plus-heren-sokken/14403_3080/","[2026-09-16] Официальная NL PDP: отдельный артикул 14403_3080, цена, состав и размеры; не дубль Softmerino 47488_3009.","VERIFIED"
"EXP-025","Шерстяные/мериносовые носки","NL","Meindl","MT7 Wandelsok (B22DAB0229)","39% мериносовая шерсть; 39% акрил; 19% полиамид; 3% эластан","EU 39–41; 42–44; 45–47","25.95","","EUR","25.95","не указано","Размеры доступны для выбора; срок показывается после выбора размера","€3.95 при заказе до €50; бесплатно от €50; самовывоз из магазина бесплатно","30 дней; возврат в магазин бесплатно или PostNL €4.95","https://www.bever.nl/p/meindl-mt7-wandelsok-B22DAB0229.html","[2026-09-16] Официальная товарная PDP ритейлера Bever: отдельный SKU B22DAB0229, цена, состав и размерный ряд; multipack не заявлен.","VERIFIED"
"EXP-026","Шерстяные/мериносовые носки","PL","Brubeck","Skarpety krótkie unisex MERINO WOOL (SC3003)","75% wełna merino; 17% polipropylen z jonami srebra; 4% elastan; 3% poliamid; 1% polipropylen","S 36–38; M 39–41; L 42–44; XL 45–47; 1 пара","27.99","","PLN","","не указано","Доступно к добавлению в корзину","Бесплатная доставка от 300 PLN; срок не указан","14 дней","https://brubeck.pl/produkt/skarpety-krotkie-unisex-merino-wool/","[2026-09-16] Официальная PDP Brubeck: модель SC3003, цена 27.99 PLN, раскрытый состав, четыре размера и одна пара.","VERIFIED"
"EXP-027","Шерстяные/мериносовые носки","PL","Paterns","Skarpetki stopki merino czarne","90% wełna merino; 8% poliamid; 2% elastan по разделу состава; заголовочный блок одновременно заявляет 100% merino","35–38; 39–41; 42–44; 45–47; отдельная пара","59.00","","PLN","","не указано","Доступно к добавлению в корзину","Бесплатная доставка; ожидаемая отправка/доставка 2 рабочих дня","14 дней","https://paterns.com/p/skarpetki-stopki-merino-czarne/","[2026-09-16] На официальной PDP есть внутреннее противоречие: hero-блок говорит 100% merino, технический состав — 90/8/2; в карточку перенесён детальный состав. Минимальная цена за 30 дней также 59 PLN, поэтому отдельной regular price нет.","PARTIAL"
"EXP-028","Шерстяные/мериносовые носки","SE","Woolpower","Socks 400 Black (FS30344; supplier 8414)","64% merinoull; 32% polyamid; 4% elastan","36–39; отдельный SKU, multipack не заявлен","220.00","","SEK","","не указано","Размер 36–39 доступен к добавлению в корзину","2–4 дня; PostNord pickup 49 SEK; бесплатно от 699 SEK","30 дней; возвратный сбор 29 SEK","https://www.outnorth.com/se/varumarken/woolpower/socks-400-4627-FS30344","[2026-09-16] Официальная PDP ритейлера Outnorth: отдельная новая модель Woolpower Socks 400, SKU FS30344/8414, цена, состав и размер; не дубль Socks Liner Classic.","VERIFIED"
"EXP-029","Шерстяные/мериносовые носки","SE","Fjällräven","Fjällräven Quarter Wool Sock","70% wool; 15% polyamide; 15% elastane","S 36–38; M 39–41; L 42–44; XL 45–47","399.00","","SEK","","Priserna online omfattar lagstadgad moms","Kommer snart; Ej i lager","PostNord 69 SEK; бесплатно при заказе свыше 1000 SEK; 4–6 рабочих дней","30 дней","https://www.fjallraven.com/se/sv-se/dam/accessoarer/ovriga-accessoarer/fjallraven-quarter-wool-sock-19d5652a/","[2026-09-16] Официальная SE PDP показывает цену, состав и статус отсутствия; размерный ряд взят из официальной таблицы размеров Fjällräven для носков.","VERIFIED"
"EXP-030","Шерстяные/мериносовые носки","DK","Danish Endurance","LIGHT CREW VANDRESTRØMPER (1-Pak, sort, variant 40944621813819)","38% merinould; 30% akryl; 30% polyamid; 2% elastan","31–34 (waitlist); 35–38; 39–42; 43–47; 48–51; 1-pack","120.00","165.00","DKK","","Inkl. moms","På lager, klar til afsendelse; 31–34 в waitlist","49 DKK; бесплатно от 699 DKK; отправка на следующий рабочий день, обычно 1–2 рабочих дня по Дании","30 дней; возврат 39 DKK; обмен на тот же товар бесплатный","https://danishendurance.com/da-dk/products/merinould-vandrestroemper-light?variant=40944621813819","[2026-09-16] Официальная DK PDP: цена продажи 120 DKK против 165 DKK, состав, диапазоны размеров и упаковка 1-Pak; ссылка фиксирует конкретный вариант.","VERIFIED"
"EXP-031","Шерстяные/мериносовые носки","FI","Sukkamestarit","Peko – pihkasukat, merinovillaa (9339-155-35-38)","48% NATIVA merinovilla; 31% polyamidi; 20% Prexelent mäntypolyamidi; 1% elastaani","35–38; 39–42; 43–46; 47–50","15.11","20.15","EUR","15.11","не указано","Зависит от варианта; на PDP присутствуют действия добавления в корзину и уведомления о поступлении","1–4 рабочих дня; от €5; бесплатно от €50; доставка домой от €10 и бесплатно от €100","14 дней","https://sukkamestarit.com/products/peko","[2026-09-16] Официальная PDP: текущая цена €15.11, regular €20.15, минимальная цена за 30 дней €12.09; состав и полный размерный ряд раскрыты.","VERIFIED"
"EXP-032","Шерстяные/мериносовые носки","DE","FALKE","Walkie Light Unisex Bootsocken, black (16486_3000)","66% Schurwolle; 34% Polyamid; заявлена мериносовая шерсть","35–36; 37–38; 39–41; 42–43; 44–45; 46–48; количество 1","21.00","","EUR","21.00","inkl. MwSt. zzgl. Versand","Доступно к добавлению в корзину после выбора размера/опций","1–2 рабочих дня; €3.90; бесплатно от €49; вышивка добавляет 2–3 рабочих дня","Бесплатный возврат в течение 14 дней","https://www.falke.com/de_de/p/walkie-light-unisex-bootsocken/16486_3000/","[2026-09-16] Официальная DE PDP: отдельная модель и артикул 16486_3000, цена, состав и полный размерный ряд; не дубль Softmerino 47488_3009.","VERIFIED"
"EXP-033","Шерстяные/мериносовые носки","EU","Aclima","Trekking Socks Jet Black (103981_103981-123)","70% merino wool; 28% polyamide; 2% elastane","36–39; 40–43; 44–48; отдельный SKU, multipack не заявлен","30.00","","EUR","30.00","не указано","Размеры показаны в селекторе; явный текст наличия/кнопка корзины не зафиксированы","Заявлена быстрая гибкая доставка; бесплатно от €150; точная стоимость и срок не указаны","30 дней","https://www.aclima.com/de-de/p/trekking-socks-jet-black","[2026-09-16] Официальная EUR PDP: отдельный SKU, цена, состав и три диапазона размеров. Статус наличия и точные параметры платной доставки на странице не раскрыты; не дубль ранее собранных Devold SKU.","PARTIAL"
"EXP-067","Перчатки","NL","DILLING","Baby Wanten Merinowol – fleece (FG-5226-0275-597)","Тип: вязаные/флисовые мериносовые варежки; 100% органическая мериносовая шерсть; 290 g/m²; 19.5 micron; отдельная подкладка не указана","не указано; размер флисовой части без манжеты 10×8 см","17.99","","EUR","17.99","Incl. BTW","Доступно к добавлению в корзину","2–4 рабочих дня из Дании; доставка от €4; бесплатно от €79","100 дней","https://www.dilling.nl/product/wanten-van-merinowolfleece-voor-babys-fg-5226-0275-597","[2026-09-16] Официальная PDP: отдельный SKU FG-5226-0275-597, цена, материал и физический замер. Размерная сетка и отдельная подкладка не указаны; не дубль PG-42010-0175-564.","PARTIAL"
"EXP-068","Перчатки","NL","Hestra","Deerskin Wool Tricot (20450-100100)","Тип: leather + wool lining; верх — deerskin; wool tricot — 100% OEKO-TEX wool; подкладка — 80% wool, 20% polyamide, тонкая вязаная merino wool lining","6; 7; 8; 9; 10; 11","95.00","","EUR","95.00","не указано","Доступно к добавлению в корзину","EU: pickup €8, home €11; бесплатно pickup от €70, home от €150; упаковка до 2 рабочих дней, итоговый срок в checkout","30 дней; возвратный сбор €5","https://www.hestragloves.eu/products/deerskin-wool-tricot-black-black","[2026-09-16] Официальная EU PDP Hestra: отдельная модель 20450-100100, цена за товар, конструкция leather + merino lining и размерная сетка 6–11.","VERIFIED"
"EXP-069","Перчатки","NL","Icebreaker","360 Sierra handschoenen (IB104829001)","Тип: вязаные RealFleece; основная ткань 88% wool, 9% nylon, 3% elastane; манжета 97% wool, 3% elastane; ладонь 100% nylon + polyurethane; кончики 92% polyester, 8% elastane; отдельная подкладка не указана","XS; S; M; L; XL","45.95","","EUR","45.95","не указано","Все размеры XS–XL показаны доступными; добавление в корзину","Стандарт 2–3 дня, бесплатно от €65; express 1–2 дня, стоимость не указана","30 дней; PDP заявляет бесплатный возврат","https://eu.icebreaker.com/nl-nl/products/realfleece-sierra-handschoenen-ib104829001","[2026-09-16] Официальная NL PDP: отдельный SKU IB104829001, цена, детальный состав по частям и размеры XS–XL.","VERIFIED"
"EXP-070","Перчатки","PL","Wólczanka","Rękawiczki z wełny 0000JX4121","Тип: вязаные шерстяные перчатки; 100% wełna; отдельная подкладка не указана","не указано на текущей PDP","49.99","99.99","PLN","","не указано","PRODUKT NIEDOSTĘPNY","Самовывоз 0 PLN; DPD Pickup 8.79 PLN; ORLEN 8.99 PLN; DPD courier 12 PLN; InPost locker 13.99 PLN; InPost courier 14.99 PLN","30 дней","https://wolczanka.pl/be%C5%BCowe-r%C4%99kawiczki-w%C3%B3lczanka-57724-1","[2026-09-16] Официальная PDP: текущая 49.99 PLN, regular 99.99 PLN, минимум за 30 дней 99.99 PLN; товар недоступен. Размер и подкладка на текущей странице не указаны; не дубль SKU 0000JX4086.","PARTIAL"
"EXP-071","Перчатки","PL","Patrizia Aryton","Brązowe skórzane rękawiczki (10389-37)","Тип: leather + wool/cashmere lining; верх 100% skóra naturalna; подкладка 85% wełna, 15% kaszmir","S 36/38; M 40/42; L 44/46","299.00","599.00","PLN","","не указано","Доступно к добавлению в корзину","Бесплатно по Польше: InPost locker и DPD; самовывоз из магазина бесплатно","14 дней","https://patrizia.aryton.pl/p/26200-brazowe-skorzane-rekawiczki.html","[2026-09-16] Официальная PL PDP: отдельный артикул 10389-37, sale 299 PLN против 599 PLN, минимум за 30 дней 299 PLN, кожаный верх, шерстяно-кашемировая подкладка и размеры S–L.","VERIFIED"
"EXP-072","Перчатки","SE","Hestra","Ergo Grip Active Wool Terry – 5 finger (31190-100020)","Тип: technical leather/textile + wool lining; верх Hestra Ventus 3-layer polyester/nylon/PU и пропитанная goat leather; подкладка wool terry 90% wool, 10% polyamide","6; 7; 8; 9; 10; 11","1200.00","","SEK","","не указано","Доступно к добавлению в корзину","40 SEK; бесплатно от 650 SEK; обычно отправка в течение 2 дней, затем 1–3 дня PostNord","30 дней; возвратный сбор 50 SEK","https://www.hestragloves.se/products/ergo-grip-active-wool-terry-5-finger-black-offwhite","[2026-09-16] Официальная SE PDP: отдельная модель 31190-100020, цена, верх и wool-terry lining, размеры 6–11; не дубль Basic Wool Glove 63660-390.","VERIFIED"
"EXP-073","Перчатки","SE","Handsome Stockholm","Peccary Oatmeal – Men","Тип: leather + cashmere lining; верх 100% peccary leather; подкладка 100% cashmere","S; M; L; XL","500.00","","EUR","500.00","не указано","Доступно к добавлению в корзину","По Швеции бесплатно PostNord, 1–3 рабочих дня; доставка по EU бесплатно","30 дней; возврат по EU бесплатный","https://handsomestockholm.com/products/peccary-oatmeal-men","[2026-09-16] Замена кандидата Soft Goat: у шведского Handsome Stockholm есть прямая актуальная официальная PDP; роль Nordic premium и конструкция leather + cashmere сохранены. Зафиксированы цена, материалы и размеры.","VERIFIED"
