"slot_id","category","market","brand","product","composition","size","weight","current_price","regular_price","currency","price_eur","vat_wording","availability","delivery_threshold","returns","pdp_url","evidence_note","status","checked_at"
"EXP-034","Пледы из яка","DE","Ritter Decken","Himalaya Yakdecke — Dunkelbraun / 150 x 200 cm (SKU 1432)","100% Yak auf Schurwollkette: ворс/поверхность 100% як на основе из новой шерсти","150 x 200 cm","1280 g; 400 g/m²","369.00","","EUR","369.00","inkl. MwSt.","В наличии; выбранный вариант available=true","1–3 Werktage; бесплатная доставка по Германии от 100 EUR","14 дней; обратную доставку оплачивает покупатель","https://ritter-decken.de/products/himalaya-yakdecke?variant=44320578076989","Официальный PDP и данные выбранного варианта 44320578076989 подтверждают SKU 1432, цену, наличие и вес; формулировка конструкции сохранена, чтобы не выдавать основу из шерсти за як.","VERIFIED","2026-09-16"
"EXP-035","Пледы из яка","DE","Wohnen & Accessoires","Sehr weiche Wolldecke Yak — Braun / 150 x 200 cm","100% Yakwolle","150 x 200 cm","ca. 1500 g; 500 g/m²","377.90","451.90","EUR","377.90","inkl. MwSt. zzgl. Versandkosten","Доступна для заказа","Срок на PDP не указан; бесплатная доставка DE/AT от 200 EUR","Бесплатный возврат до 1 месяца; возвратная этикетка только для Германии","https://www.wolldecken-tagesdecken.de/sehr-weiche-wolldecke-yak-100-yakwolle-in-farbe-braun-von-groesse-75x100cm-150x220cm.html","Официальный PDP ритейлера показывает отдельный размер 150 x 200 cm, цену со скидкой, прежнюю цену, состав, массу и плотность.","VERIFIED","2026-09-16"
"EXP-036","Пледы из яка","DE","LaModula","Wolldecke Mia aus Yakwolle — 150 x 200 cm","100% Yakhaar / Yakwolle","150 x 200 cm","1550 g; 520 g/m²","341.00","","EUR","341.00","inkl. 19% MwSt.","Доступна для заказа","5–7 Werktage; бесплатная доставка по Германии, Австрии и Италии","PDP исключает выбранное/индивидуальное изделие из добровольной 6-недельной гарантии возврата; иные условия не указаны на PDP","https://www.lamodula.de/kuscheldecke-mia","Официальный PDP бренда прямо раскрывает 100% yak, размер, массу, плотность, цену и срок поставки.","VERIFIED","2026-09-16"
"EXP-037","Пледы из яка","DE","Steinbeck","Altai Wolldecke — Braun / 150 x 200 cm (Art. 306778)","50% Yak / 50% Lammwolle","150 x 200 cm","ca. 1500 g","279.00","413.50","EUR","279.00","inkl. MwSt. zzgl. Versandkosten","Sofort verfügbar; выбранный вариант available=true","1–3 Werktage; бесплатная доставка по Германии от 50 EUR","14 дней; бесплатный возврат внутри Германии","https://www.oeko-planet.com/products/steinbeck-altai-wolldecke-aus-lammwolle-yakhaare","Официальный PDP ритейлера и данные варианта подтверждают состав, артикул, цену 279 EUR, compare-at 413.50 EUR, размер, массу и наличие.","VERIFIED","2026-09-16"
"EXP-038","Пледы из яка","NL","Yumeko","Deken yak wol dark brown (SKU E201)","100% gekamde yakwol","ca. 150 x 200 cm","ca. 1500 g; 500 g/m²","369.00","","EUR","369.00","не указано на PDP","Доступна для заказа","В будни до 17:00 отправка в тот же день; обычно 1 рабочий день; бесплатно от 49.95 EUR, иначе 4.90 EUR","Бесплатный возврат в течение 30 дней; изделие должно быть неиспользованным и нестиранным","https://www.yumeko.nl/deken-yak-wol-dark-brown","Официальный NL PDP бренда раскрывает SKU E201, 100% yak, размер, массу/плотность и цену.","VERIFIED","2026-09-16"
"EXP-039","Пледы из яка","NL","Brun de Vian-Tiran (retailer Deken.nl)","Plaid Yaka — Brun naturel (SKU DKN40)","95% yack / 5% cachemire de Chine","140 x 200 cm в описании; 140 x 180 cm в характеристиках","ca. 230 g/m²","458.00","","EUR","458.00","prijzen inclusief 21% BTW","В наличии; вариант Brun naturel доступен","5–10 рабочих дней; бесплатная доставка по Нидерландам свыше 50 EUR, иначе 4.95 EUR","14 рабочих дней; прямую стоимость возврата оплачивает покупатель","https://deken.nl/product/plaid-yaka/","Официальный PDP ритейлера подтверждает конкретный SKU, цену, состав, плотность и наличие, но сам себе противоречит по размеру (140 x 200 и 140 x 180 cm).","PARTIAL","2026-09-16"
"EXP-040","Пледы из яка","NL","NURA WOOL","Handgemaakte wollen plaid zand beige (product 387)","70% yak wool / 30% cotton","240 x 120 cm","550 g","69.00","","EUR","69.00","prijzen inclusief btw","19 op voorraad","Срок не указан; бесплатная доставка NL от 100 EUR / BE от 120 EUR","Уведомление о возврате в течение 14 дней после получения и ещё 14 дней на отправку; обратную доставку оплачивает покупатель","https://nurawool.nl/product/handgemaakte-wollen-plaid/","Официальный NL PDP бренда прямо показывает долю яка, хлопка, размер, вес, цену и остаток 19 шт.","VERIFIED","2026-09-16"
"EXP-041","Пледы из яка","PL","BODIO’S (retailer Mongolian.pl)","Koc z wełny jaka w kratkę (indeks 1404bb)","100% wełna z jaka","150 x 200 cm","не указано","2310.00","","PLN","","не указано на PDP","В наличии; schema InStock и активное добавление в корзину","Отправка до 24 часов, доставка до 2 рабочих дней; бесплатно от 300 PLN","30 дней; бесплатный возврат","https://mongolian.pl/koce-i-pledy/koc-z-welny-jaka-w-kratke-2336","Официальный PDP ритейлера подтверждает уникальный индекс 1404bb, 100% yak, размер, PLN-цену и наличие; обязательный для yak-слота вес не раскрыт.","PARTIAL","2026-09-16"
"EXP-042","Пледы из яка","PL","BODIO’S (retailer Mongolian.pl)","Koc z wełny jaka w dużą kratę (indeks 1404bc)","100% wełna z jaka","150 x 200 cm","не указано","1650.00","","PLN","","не указано на PDP","В наличии; schema InStock и активное добавление в корзину","Отправка до 24 часов, доставка до 2 рабочих дней; бесплатно от 300 PLN","30 дней; бесплатный возврат","https://mongolian.pl/koce-i-pledy/koc-z-welny-jaka-w-duza-krate-2337","Официальный PDP ритейлера подтверждает уникальный индекс 1404bc, 100% yak, размер, PLN-цену и наличие; обязательный для yak-слота вес не раскрыт.","PARTIAL","2026-09-16"
"EXP-043","Пледы из яка","SE","Kinship Collective × Noble Fibre","Yak Throw — Espresso (SKU NF-YB01-D)","100% handwoven yak wool","127 x 203 cm","не указано","2900.00","","SEK","","all prices include VAT","Только 2 шт. в наличии","Бесплатная доставка по Швеции; срок не указан","Уведомление в течение 14 рабочих дней; обратную доставку оплачивает покупатель","https://kinship-collective.com/products/throw-90-x-180","Официальный шведский DTC PDP (Kinship Collective AB) подтверждает SKU NF-YB01-D, 100% yak, размер, цену в SEK и остаток; обязательный вес не раскрыт.","PARTIAL","2026-09-16"
"EXP-044","Пледы из яка","SE","Kinship Collective × Noble Fibre","Yak Throw — Natural Brown (SKU NF-YB02-D)","100% handwoven yak wool","127 x 203 cm","не указано","2900.00","","SEK","","all prices include VAT","Распродано; 0 шт.","Бесплатная доставка по Швеции; срок не указан","Уведомление в течение 14 рабочих дней; обратную доставку оплачивает покупатель","https://kinship-collective.com/collections/blankets/products/yak-blanket-natural-brown-90-x-180cm","Официальный шведский DTC PDP (Kinship Collective AB) подтверждает отдельный SKU NF-YB02-D, 100% yak, размер, SEK-цену и нулевой остаток; обязательный вес не раскрыт.","PARTIAL","2026-09-16"
"EXP-045","Прочие шерстяные пледы","DE","Ritter Decken","Karlsbad Schurwolldecke (Merinowolle) — Creme / 150 x 200 cm (SKU 1962)","100% Schurwolle; mulesing-free Australian Merino-Schurwolle","150 x 200 cm","1280 g; 427 g/m²","229.00","","EUR","229.00","inkl. MwSt.","В наличии; выбранный вариант available=true","1–3 Werktage; бесплатная доставка по Германии от 100 EUR","14 дней; обратную доставку оплачивает покупатель","https://ritter-decken.de/products/karlsbad-schurwolldecke-merinowolle-1?variant=44909414154557","Официальный PDP и данные варианта 44909414154557 подтверждают SKU 1962, состав, цену, наличие и массу именно размера 150 x 200 cm.","VERIFIED","2026-09-16"
"EXP-046","Прочие шерстяные пледы","DE","Lodenwalker / Jörg Steiner","Virgin Wool Blanket Classic — Sage/sand / 200 x 150 cm (SKU SW10288.2)","100% new wool; edging 100% new wool","ca. 200 x 150 cm","ca. 850 g per linear metre","222.00","","EUR","222.00","Prices incl. VAT plus shipping costs","Available","1–3 days; бесплатно AT/DE при заказе свыше 200 EUR","14 дней; прямую стоимость возврата оплачивает покупатель","https://lodenwalker.com/en/New-Wool-Blanket-Classic/SW10288.2","Официальный PDP бренда раскрывает отдельный SKU, 100% new wool, размер, линейную массу, EUR-цену и наличие.","VERIFIED","2026-09-16"
"EXP-047","Прочие шерстяные пледы","DE","URBANARA","Merinodecke Raiana — Beige & Natur","100% Merinowolle","130 x 175 cm","190 g/m²","149.00","","EUR","149.00","inkl. MwSt.","Ausverkauft","Срок не указан; бесплатная доставка по Германии от 200 EUR","30 дней","https://www.urbanara.de/products/decke-beige-natur-merino-raiana","Официальный PDP бренда подтверждает отдельную модель, 100% merino, размер, плотность, цену и статус sold out.","VERIFIED","2026-09-16"
"EXP-048","Прочие шерстяные пледы","NL","HAY","Duo Throw W130 x L180 Mint","100% wool","130 x 180 cm","не указано","119.00","","EUR","119.00","terms: price includes all taxes; на PDP отдельной VAT-метки нет","In stock","PostNL/DHL; срок не указан; бесплатная стандартная доставка NL от 50 EUR","14 дней; обратную доставку оплачивает покупатель (ориентир NL-посылки 6.95 EUR)","https://www.hay.nl/duo-throw-mint","Официальный NL PDP бренда подтверждает конкретный цвет Mint, 100% wool, размер, цену и наличие.","VERIFIED","2026-09-16"
"EXP-049","Прочие шерстяные пледы","NL","Belpo (retailer Texelana)","Belpo Tartan blanket — Dark maple (SKU/EAN 7446046525504)","100% recycled wool","150 x 180 cm","ca. 1100 g","79.99","","EUR","79.99","Inclusief belasting","В наличии; выбранный вариант 50608738566462 available=true","NL 5.95 EUR, бесплатного порога не указано; до 10:00 в будни отправка в тот же день, иногда +1–2 дня; DHL обычно 24 часа","30 дней; обратную доставку оплачивает покупатель (бесплатная этикетка только при возврате на gift card свыше 30 EUR)","https://www.texelana.nl/collections/wollen-plaids/products/belpo-tartan-wollen-plaid?variant=50608738566462","Официальный PDP ритейлера и данные выбранного варианта подтверждают уникальный EAN, цену и наличие Dark maple; состав, размер и масса раскрыты на карточке.","VERIFIED","2026-09-16"
"EXP-050","Прочие шерстяные пледы","NL","Yumeko","Merinowollen deken grey melange 150 x 210 (SKU E938)","100% merino scheerwol","150 x 210 cm","445 g/m²","219.00","","EUR","219.00","не указано на PDP","Доступна для заказа","В будни до 17:00 отправка в тот же день; обычно 1 рабочий день; бесплатно от 49.95 EUR, иначе 4.90 EUR","Бесплатный возврат в течение 30 дней; изделие должно быть неиспользованным и нестиранным","https://www.yumeko.nl/deken-merino-wol-grey-melange-150x210","Официальный NL PDP бренда раскрывает SKU E938, 100% merino virgin wool, размер, плотность и цену.","VERIFIED","2026-09-16"
"EXP-051","Прочие шерстяные пледы","PL","HOP Design","Koc wełniany ALPAK — zielony prążek","100% wełna owcza (z młodych owiec)","155 x 205 cm без бахромы","ca. 450–500 g/m²","449.00","","PLN","","z VAT","В наличии","Экспресс-отправка до 24 часов; бесплатный Paczkomat от 199 PLN","30 дней","https://hopsklep.pl/produkt/koc-welniany-alpak-zielony-prazek/","Официальный PDP бренда подтверждает новую модель/цвет, 100% sheep wool, размер, плотность, PLN-цену и наличие.","VERIFIED","2026-09-16"
"EXP-052","Прочие шерстяные пледы","PL","Rytex","Koc wełniany duże romby z brązową lamówką (SKU 9804/R1-L246)","100% wełna","150 x 200 cm","1.2 kg; 600 g per linear metre","199.26","","PLN","","PDP structured data: valueAddedTaxIncluded=true; отдельной видимой VAT-метки нет","1 шт. в наличии","До 14 рабочих дней; GLS 21.46 PLN по предоплате / 29.46 PLN наложенным платежом; бесплатный порог не указан","14 календарных дней; прямую стоимость возврата оплачивает покупатель","https://rytex.com.pl/produkt/koc-welniany-duze-romby-z-brazowa-lamowka-150-x-200-cm-1-2kg/","Официальный PDP производителя подтверждает отдельный SKU, 100% wool, размер, массу 1.2 kg в названии, PLN-цену и остаток 1 шт.","VERIFIED","2026-09-16"
"EXP-053","Прочие шерстяные пледы","SE","Klippan Yllefabrik","Velvet — Avokado (SKU 210405)","100% lambswool","130 x 200 cm","не указано","999.00","","SEK","","не указано на PDP","Tillfälligt slut i lager; вариант available=false","Обычно отправка в тот же будний день при заказе до 13:00, перевозчик 2–4 дня; бесплатная доставка до пункта выдачи по Швеции от 900 SEK","30 дней; возвратная посылка 69 SEK, исходная доставка не возмещается","https://klippanyllefabrik.se/products/velvet?variant=40444963586218","Официальный PDP бренда и данные варианта 40444963586218 подтверждают SKU 210405, 100% lambswool, размер, цену и текущий статус temporarily out of stock.","VERIFIED","2026-09-16"
"EXP-054","Прочие шерстяные пледы","SE","Stackelbergs (retailer Norrgavel)","Pläd Mohair bright white (SKU 7530030-h)","70% mohairull / 25% ull / 5% nylon","130 x 170 cm","не указано; 2 kg на сайте — масса вместе с упаковкой","2695.00","","SEK","","price.incVat=2695; VAT=539 в данных PDP","В наличии; schema InStock","Складской декор обычно отправляется за 2–3 дня; стоимость/бесплатный порог не указаны и зависят от способа доставки","Официальные страницы противоречат: страница возврата — 14 дней, условия покупки — 30 дней; покупатель оплачивает возврат","https://norrgavel.se/inredning/hemtextilier/pladar-filtar/plad-mohair-bright-white","Официальный PDP Norrgavel подтверждает SKU 7530030-h, цену с VAT, состав, размер и наличие. Массу 2 kg не считаем массой пледа: поле прямо включает упаковку; несогласованность срока возврата сохранена дословно.","VERIFIED","2026-09-16"
"EXP-055","Прочие шерстяные пледы","EU","Røros Tweed","Mikkel Large Throw — Orange (SKU 3755)","100% wool","135 x 200 cm","1.2 kg","239.00","","EUR","239.00","prices include all taxes and additional costs","В наличии; schema InStock","Отправка через 1–2 рабочих дня; бесплатный порог не указан","14 дней на отказ с получения; отправить обратно не позднее 14 дней после уведомления; прямые расходы несёт покупатель","https://www.rorostweed.com/en/product/mikkel-large-throw?variant=orange&country=de&currency=eur&stay=1","Официальный PDP бренда в EUR подтверждает вариант Orange, SKU 3755, цену 239 EUR, 100% wool, размер, массу и наличие; price-before-discount равна текущей, поэтому regular_price оставлена пустой.","VERIFIED","2026-09-16"
