"id","market","market_name","category","brand","product_name","currency","current_price","regular_price","lowest_30d_price","composition","availability","source_type","coverage_status","market_currency_match","url","checked_at","reference_value","limitations"
"NL-CASHMERE-SCARF-01","NL","Нидерланды","Кашемировые шарфы","REPEAT cashmere","Cashmere Scarf, article 900553-7003-0","EUR",139.00,219.00,"","100% органический кашемир; сертификация GOTS","Нет в наличии; доступно уведомление о поступлении","Официальный сайт бренда","strict_local",true,"https://www.repeatcashmere.com/en/cashmere-scarf/900553-7003-0.html","2026-09-15","Премиальный cashmere-only benchmark с заметной скидкой; полезен для ценовой верхней границы и подачи GOTS.","Глобальная англоязычная карточка с выбором Netherlands; SKU распродан, поэтому цену нельзя считать активной рыночной транзакционной ценой."
"NL-WOOL-SCARF-01","NL","Нидерланды","Шерстяные шарфы","DILLING","Sjaal van merinowol, PG-45000-0198-655","EUR",59.99,"","","100% органическая мериносовая шерсть, mulesing-free; GOTS","Доступен; кнопка добавления в корзину","Официальный локальный сайт бренда","strict_local",true,"https://www.dilling.nl/product/sjaal-van-merinowol-pg-45000-0198-655","2026-09-15","Чистый органический меринос в среднем ценовом сегменте; прозрачная спецификация 170×30 см и 300 г/м².","Локальная NL-витрина, но отправка выполняется из Дании."
"NL-MERINO-SOCKS-01","NL","Нидерланды","Шерстяные/мериносовые носки","DILLING","Heren Sokken Merinowol – single jersey, PG-1700-0300-999","EUR",13.99,"","","85% органическая мериносовая шерсть, 13% полиамид, 2% эластан; GOTS","Доступны; кнопка добавления в корзину","Официальный локальный сайт бренда","strict_local",true,"https://www.dilling.nl/product/heren-sokken-merinowol-single-jersey-pg-1700-0300-999","2026-09-15","Доступный ценовой benchmark для функциональной мериносовой смеси с сертификацией.","Не 100% шерсть; локальная NL-витрина, но отправка из Дании."
"NL-YAK-THROW-01","NL","Нидерланды","Пледы из яка","Joe Merino","Joe Yak Blanket True Navy","EUR",150.00,"","","80% extra-fine merino, 20% yak","Неоднозначно: карточка сообщает о последних единицах, но также показывает уведомление о поступлении; остаток нужно перепроверить","Официальный локальный сайт бренда","strict_local",true,"https://www.joemerino.com/nl_nl/joe-yak-blanket-true-navy/","2026-09-15","Редкий локальный NL-ориентир по пледу с яком; показывает доступную цену входа через смесь yak/merino.","Только 20% яка, не pure-yak; интерфейс даёт противоречивые сигналы наличия."
"NL-WOOL-THROW-01","NL","Нидерланды","Прочие шерстяные пледы","Klippan","Klippan plaid Gotland wol – uni, article 2085","EUR",95.95,"","","25% чесаная готландская шерсть, 75% lambswool","Варианты доступны для выбора и заказа","Официальный локальный сайт/дистрибьютор Klippan NL","strict_local",true,"https://www.klippan.nl/a-56696885/wollen-plaids/klippan-plaid-gotland-wol-uni/","2026-09-15","Скандинавский шерстяной плед среднего уровня с понятным blend-story и размером 130×200 см.","Для покупки требуется выбрать цвет; цена относится к проверенной карточке, не ко всем вариантам каталога."
"NL-SHAWL-01","NL","Нидерланды","Шали/палантины","REPEAT cashmere","Fine-Knit Cashmere Triangular Scarf with Fringes, article 700511-1025","EUR",229.95,"","","100% органический кашемир; сертификация GOTS","Недоступен; уведомление о поступлении; на странице также указан made-to-order срок около 15 рабочих дней","Официальный сайт бренда","strict_local",true,"https://www.repeatcashmere.com/en/fine-knit-cashmere-triangular-scarf-with-fringes/700511-1025.html","2026-09-15","Премиальная треугольная кашемировая модель 185×91 см, пригодная как референс позиционирования шали и шарфа одновременно.","Глобальная англоязычная карточка; сессия может определять другую страну, поэтому перед покупкой нужно повторно выбрать Netherlands. Наличие и made-to-order сообщение противоречат друг другу."
"NL-GLOVES-01","NL","Нидерланды","Перчатки","DILLING","Dames Wanten Lamswol – halve patentsteek, PG-42010-0175-564","EUR",34.99,"","","100% органическая мериносовая lambswool, 300 г/м²; GOTS","Доступны; кнопка добавления в корзину","Официальный локальный сайт бренда","strict_local",true,"https://www.dilling.nl/product/dames-wanten-lamswol-halve-patentsteek-pg-42010-0175-564","2026-09-15","Доступный clean-material benchmark для органических шерстяных варежек без синтетики в основном материале.","Это варежки, а не перчатки с отдельными пальцами; отправка из Дании."
"SE-CASHMERE-SCARF-01","SE","Швеция","Кашемировые шарфы","Davida Cashmere","Big Classic Scarf, fuchsia, SKU DCE13012 / item 229373547","SEK",1149.00,2299.00,"","100% кашемир","Доступен; добавление в корзину; доставка заявлена 1–2 дня","Локальный авторизованный ритейлер Boozt Sweden","strict_local",true,"https://www.boozt.com/se/sv/davida-cashmere/big-classic-scarf_18585772/229373547","2026-09-15","Премиальная чисто-кашемировая модель с глубокой скидкой 50%; полезна для анализа промо-давления.","Цена акционная и может быстро измениться; конкретный цвет fuchsia не репрезентирует базовые нейтральные расцветки."
"SE-WOOL-SCARF-01","SE","Швеция","Шерстяные шарфы","John Henric","Grey Wool Houndstooth Winter Scarf, article A0323713","SEK",599.00,"","","100% шерсть","В наличии; кнопка добавления в корзину","Официальный локальный сайт бренда","strict_local",true,"https://johnhenric.com/se/grey-wool-houndstooth-winter-scarf-a03237","2026-09-15","Чёткий шведский mid-market benchmark для 100% шерстяного мужского шарфа 180×26 см.","Узкая мужская стилистика и принт houndstooth ограничивают прямую сопоставимость с унисекс базой."
"SE-MERINO-SOCKS-01","SE","Швеция","Шерстяные/мериносовые носки","Woolpower","Socks Liner Classic","SEK",159.00,"","","60% мериносовая шерсть, 35% полиамид, 5% эластан","В наличии; доступна покупка, проверенный размер 40–44","Локальный специализированный ритейлер Maxpre","strict_local",true,"https://maxpre.se/jakttillbehor/woolpower-socks-liner-classic","2026-09-15","Функциональный made-in-Sweden ориентир нижнего/среднего сегмента для тонких merino liner socks.","Меринос составляет 60%; ассортимент размеров на карточке может быть ограничен."
"SE-YAK-THROW-PROXY-01","SE","Швеция","Пледы из яка","Undarmaa","Altai Yakuld rutig","DKK",2995.00,"","","100% монгольская шерсть яка","Шведоязычная карточка принимает заказ; указано, что новые товары поступают","Официальный сайт бренда, шведоязычная трансграничная витрина","proxy_cross_border",false,"https://undarmaa.com/sv/collections/plaider/products/altai-yakuld-plaid","2026-09-15","Проверяемый premium pure-yak референс, доступный шведоязычной аудитории, когда локальных SEK-PDP почти нет.","Не строгий локальный SE benchmark: расчёт в DKK и датская трансграничная торговля; отсутствие цены в SEK — незакрытая ячейка исследования."
"SE-WOOL-THROW-01","SE","Швеция","Прочие шерстяные пледы","Norrgavel","Pläd ull/kashmir Hazelnut","SEK",1595.00,"","","80% шерсть, 20% кашемир; переработанное волокно, GRS","Доступен; добавление в корзину; отправка 1–2 рабочих дня","Официальный локальный сайт бренда","strict_local",true,"https://norrgavel.se/inredning/hemtextilier/plad-ullkashmir-hazelnut","2026-09-15","Премиальный локальный benchmark с circular/recycled story и кашемировой добавкой; размер 130×180 см.","Смешанный материал и recycled-позиционирование затрудняют прямое сравнение с virgin wool пледами."
"SE-SHAWL-01","SE","Швеция","Шали/палантины","ella&il","Ronja Cashmere Scarf, SKU LAIEISC006 / item 233304890","SEK",1899.00,"","","100% кашемир","Доступен; добавление в корзину; доставка заявлена 1–2 дня","Локальный авторизованный ритейлер Boozt Sweden","strict_local",true,"https://www.boozt.com/se/sv/ellail/ronja-cashmere-scarf_33198547/233304890","2026-09-15","Треугольная premium cashmere-модель, которую ритейлер визуально и функционально подаёт как scarf/shawl.","Название содержит scarf; классификация в шали основана на треугольной форме и носке на плечах."
"SE-GLOVES-01","SE","Швеция","Перчатки","Hestra","Basic Wool Glove, article 63660-390","SEK",395.00,"","","Верх: 85% Shetland wool, 15% полиамид; утеплитель Thinsulate C-40; подкладка 100% полиэстер","Доступны размеры 6–11; кнопка добавления в корзину","Официальный локальный сайт бренда","strict_local",true,"https://www.hestragloves.se/products/basic-wool-glove-charcoal","2026-09-15","Сильный локальный brand benchmark для утеплённой шерстяной перчатки с широкой размерной сеткой.","Не monomaterial: синтетическая добавка, утеплитель и подкладка повышают функциональность и снижают сопоставимость с чистошерстяными моделями."
"PL-CASHMERE-SCARF-01","PL","Польша","Кашемировые шарфы","Wólczanka","Brązowy szal, 0000JX5589 / card 62852-1","PLN",249.99,349.99,"","100% кашемир","Доступен только онлайн","Официальный локальный сайт бренда","strict_local",true,"https://wolczanka.pl/brazowy-szal-wolczanka-62852-1","2026-09-15","Локальный pure-cashmere benchmark с промо-ценой; полезен для польского upper-mid сегмента.","Польское слово szal может охватывать и шарф, и палантин; карточка отнесена к шарфам по пропорциям 170×25 см."
"PL-WOOL-SCARF-01","PL","Польша","Шерстяные шарфы","Answear.LAB","Biały szalik damski wełniany z kapturem, WA26-SAD038","PLN",399.99,"","","100% мериносовая шерсть","Доступен; добавление в корзину; заявлена доставка от 24 часов","Официальная локальная витрина ритейл-бренда Answear","strict_local",true,"https://answear.com/p/answear-lab-szalik-damski-welniany-bialy-1715636","2026-09-15","Премиальный локальный ориентир для 100% merino и гибридного дизайна scarf/hood; размер 200×34 см.","Модель с капюшоном функционально отличается от классического прямоугольного шарфа."
"PL-MERINO-SOCKS-01","PL","Польша","Шерстяные/мериносовые носки","Wólczanka","Beżowe skarpety, 0000JX4086 / card 56380-1","PLN",29.99,59.99,"","100% мериносовая шерсть","Доступны онлайн; проверенные размеры 36–38 и 39–41","Официальный локальный сайт бренда","strict_local",true,"https://wolczanka.pl/be%C5%BCowe-skarpety-w%C3%B3lczanka-56380-1","2026-09-15","Редкий локальный low-price pure-merino benchmark; показывает агрессивный уровень распродажи.","Цена акционная; наличие зависит от размера. URL содержит percent-encoding польских символов."
"PL-YAK-THROW-01","PL","Польша","Пледы из яка","Erdenet Home / Mongolian.pl","Koc z wełny jaka 100% dwustronny, index 1404ba","PLN",1720.00,"","","100% шерсть яка","PDP позволяет добавить в корзину и обещает отправку в течение 24 часов; остаток требует повторной проверки","Локальный специализированный ритейлер","strict_local",true,"https://mongolian.pl/koce-i-pledy/koce-welniane/koc-z-welny-jaka-100-dwustronny-471","2026-09-15","Ключевой локальный premium pure-yak benchmark 150×200 см с прямой PLN-ценой.","Старый снимок категории помечал товар как sold out, тогда как текущая PDP разрешает заказ; остаток нужно подтвердить перед цитированием в презентации."
"PL-WOOL-THROW-01","PL","Польша","Прочие шерстяные пледы","HOP DESIGN","Koc wełniany RURU burgund","PLN",559.20,699.00,"","100% новозеландская мериносовая шерсть; OEKO-TEX","В наличии; добавление в корзину","Официальный локальный сайт бренда/магазина","strict_local",true,"https://hopsklep.pl/produkt/koc-welniany-hop-design-ruru-burgund/","2026-09-15","Локальный 100% merino throw benchmark с плотностью 550 г/м², размером 145×205 см и подтверждаемой скидкой.","Акционная цена; конкретный бордовый цвет может иметь иной остаток, чем другие варианты серии RURU."
"PL-SHAWL-01","PL","Польша","Шали/палантины","Answear.LAB","Czerwony gładki szal wełniany, WA25-SAD022","PLN",71.99,149.99,84.99,"90% шерсть, 10% кашемир","Доступен; добавление в корзину","Официальная локальная витрина ритейл-бренда Answear","strict_local",true,"https://answear.com/p/answear-lab-szal-welniany-damski-kolor-czerwony-gladki-1516320","2026-09-15","Нижний ценовой benchmark для крупного 71×180 см wool/cashmere палантина при сильной распродаже.","Текущая цена глубоко акционная и ниже указанной минимальной цены за предыдущие 30 дней; не использовать как стабильный regular-price ориентир."
"PL-GLOVES-01","PL","Польша","Перчатки","Answear.LAB","Czarne rękawiczki damskie z wełną merino, product 2208538","PLN",119.99,"","","51% мериносовая шерсть, 49% хлопок","Доступны; добавление в корзину; заявлена доставка от 24 часов","Официальная локальная витрина ритейл-бренда Answear","strict_local",true,"https://answear.com/p/answear-lab-rekawiczki-damskie-z-welna-merino-czarne-1718782","2026-09-15","Локальный accessible benchmark для merino-forward варежек с натуральной хлопковой добавкой.","Меринос 51%, модель — варежки; материал и конструкция не сопоставимы с чистошерстяными перчатками."
