"id","категория","товар_бренд","рынок","рейтинг","средний_рейтинг_карточки","число_оценок_карточки","дата_отзыва","точность_даты","job_to_be_done","драйвер_покупки","позитив","барьер_возражение","тональность","код_темы","фрагмент_или_пересказ","режим_фиксации","статус_покупки","группа_зависимости","риск_зависимой_выборки","источник_url","тип_источника","дата_проверки","ограничение"
"VOC-001","Шаль / палантин","& Other Stories Wool Fringe Scarf","DE","5","4.7","193","2023-12-09","точная","Укутать плечи в прохладу и носить аксессуар несколькими способами.","мягкость, тепло и большой формат","приятен у кожи и закрывает плечи","","позитив","SOFTNESS|WARMTH|VERSATILITY|SIZE_FIT","Мягкий, тёплый и достаточно большой, чтобы накинуть на плечи.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmDeWool","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/de_de/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-002","Шерстяной шарф","& Other Stories Wool Fringe Scarf","DE","5","4.7","193","2023-02-17","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","комфорт шерсти у чувствительной кожи","меньше колется, чем похожая модель","более высокая цена","смешанный","LOW_ITCH|PRICE_VALUE","Более дорогой вариант заметно мягче и меньше колется.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmDeWool","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/de_de/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-003","Шерстяной шарф","& Other Stories Wool Fringe Scarf","DE","4","4.7","193","2022-12-31","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","качество материала и цвет","материал, обработка и оттенок понравились","после стирки нужна коррекция формы","смешанный","CARE_LIMIT|SHAPE_LOSS|COLOR_MATCH","Материал и цвет хороши, но после стирки шарф теряет форму.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmDeWool","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/de_de/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-004","Шаль / палантин","& Other Stories Wool Fringe Scarf","DE","5","4.7","193","2023-03-02","точная","Укутать плечи в прохладу и носить аксессуар несколькими способами.","100% шерсть и большой формат","греет и работает как мини-плед","","позитив","WARMTH|VERSATILITY|NATURAL_FIBER","Тёплый шарф из чистой шерсти иногда заменяет плед.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmDeWool","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/de_de/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-005","Шерстяной шарф","& Other Stories Wool Fringe Scarf","DE","3","4.7","193","2026-01-12","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","ожидание прежней плотности и цвета","","ощущение снижения качества относительно старой версии","негатив","TOO_THIN|QUALITY_CONSISTENCY|COLOR_MISMATCH","Новая версия тоньше старой, качество и цвет стали слабее.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmDeWool","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/de_de/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-006","Кашемировый шарф","Tchibo Cashmere-Strickschal","DE","","4.5","","2026-03-21","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","кашемировая мягкость и премиальное ощущение","высокая тактильная ценность","цена остаётся высокой даже по акции","смешанный","SOFTNESS|PREMIUM_PRICE|PRICE_VALUE","Даже со скидкой дорого, но ощущение от шарфа прекрасное.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","tchiboDeCashmere","Повышенный: 3 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.tchibo.de/products/147594165877/cashmere-strickschal?article_id=114328486258","официальная карточка ритейлера","2026-09-15","Индивидуальная оценка в доступном фрагменте не показана; опираемся на текст и рейтинг карточки."
"VOC-007","Кашемировый шарф","Tchibo Cashmere-Strickschal","DE","","4.5","","2026-03-05","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","ожидание плотного премиального кашемира","","толщина не соответствует цене","негатив","TOO_THIN|PREMIUM_PRICE|PRICE_VALUE","Слишком тонкий для своей цены, поэтому покупку вернули.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","tchiboDeCashmere","Повышенный: 3 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.tchibo.de/products/147594165877/cashmere-strickschal?article_id=114328486258","официальная карточка ритейлера","2026-09-15","Индивидуальная оценка в доступном фрагменте не показана; опираемся на текст и рейтинг карточки."
"VOC-008","Кашемировый шарф","Tchibo Cashmere-Strickschal","DE","","4.5","","2026-03-02","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","проверенное качество для подарка","повторная покупка подтверждает доверие","","позитив","GIFT|REPEAT_BUY","Второй заказ: первый подарили, этот тоже берут в подарок.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","tchiboDeCashmere","Повышенный: 3 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.tchibo.de/products/147594165877/cashmere-strickschal?article_id=114328486258","официальная карточка ритейлера","2026-09-15","Индивидуальная оценка в доступном фрагменте не показана; опираемся на текст и рейтинг карточки."
"VOC-009","Кашемировый шарф","Bovari 100% Kaschmir Schal","DE","","4.6","19","2026-02-17","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","приятный материал и комфорт","готовность к повторной покупке","","позитив","SOFTNESS|REPEAT_BUY","Материал приятный, носить комфортно; заказала бы снова.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","ottoDeCashmere","Повышенный: 2 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.otto.de/p/bovari-kaschmirschal-100-kaschmir-schal-damen-und-herren-strick-schal-premium-qualitaet-S0U5I039/?variationId=S0U5I0394TCT","крупный маркетплейс, карточка товара","2026-09-15","Покупка помечена подтверждённой, но индивидуальная звезда в текстовом фрагменте не видна."
"VOC-010","Кашемировый шарф","Bovari 100% Kaschmir Schal","DE","","4.6","19","2024-09-24","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","цвет и кашемировое качество","общее удовлетворение и рекомендация","цвет светлее карточки","смешанный","COLOR_MISMATCH|PHOTO_ACCURACY","Вживую оттенок светлее фотографии, но покупкой довольны.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","ottoDeCashmere","Повышенный: 2 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.otto.de/p/bovari-kaschmirschal-100-kaschmir-schal-damen-und-herren-strick-schal-premium-qualitaet-S0U5I039/?variationId=S0U5I0394TCT","крупный маркетплейс, карточка товара","2026-09-15","Покупка помечена подтверждённой, но индивидуальная звезда в текстовом фрагменте не видна."
